Premium,Size,Home.Value,Credit,Exterior,Auto,Churn,Tier
4391,2384,214864,Excellent,Brick,N,High,Platinum
4303,3066,283453,Excellent,Brick,N,MedLow,Gold
4230,2632,256000,Average,Brick,N,MedHigh,Platinum
4056,2788,268912,Average,Brick,N,MedLow,Platinum
4051,2847,265000,Good,Brick,N,MedLow,Green
3926,3115,282091,Below Average,Brick,N,Low,Silver
3896,1924,173759,Below Average,Frame,N,MedHigh,Green
3893,2103,200888,Excellent,Brick,N,High,Silver
3889,1920,183182,Average,Brick,N,High,Green
3881,1810,170088,Average,Brick,N,High,Green
3869,1943,179480,Poor,Frame,Y,High,Green
3863,2101,198842,Excellent,Brick,Y,High,Green
3860,1954,175500,Poor,Frame,N,High,Silver
3855,1901,179136,Below Average,Frame,N,High,Gold
3854,2115,199390,Below Average,Brick,Y,High,Gold
3851,1883,171153,Poor,Brick,N,High,Gold
3844,2124,198694,Poor,Brick,N,High,Gold
3838,2213,208276,Average,Brick,N,High,Platinum
3829,1835,170983,Excellent,Brick,N,High,Platinum
3828,2093,192415,Poor,Brick,Y,High,Silver
3827,2109,197222,Below Average,Brick,N,High,Gold
3823,2097,187084,Excellent,Brick,Y,High,Platinum
3818,1912,179861,Average,Frame,N,High,Silver
3817,2070,185404,Average,Brick,N,High,Platinum
3816,2174,192662,Average,Brick,N,High,Silver
3816,1880,168459,Average,Brick,N,High,Platinum
3798,1816,171774,Average,Brick,N,High,Gold
3798,1846,168103,Excellent,Frame,Y,High,Gold
3795,2002,195621,Excellent,Brick,N,High,Platinum
3794,1988,173341,Average,Frame,Y,High,Platinum
3790,2189,193316,Poor,Brick,N,High,Silver
3785,1915,179823,Average,Frame,N,High,Gold
3776,2144,192125,Average,Brick,N,High,Silver
3776,1967,182059,Below Average,Frame,N,MedHigh,Gold
3773,1807,168900,Average,Brick,N,High,Silver
3767,2210,206966,Excellent,Brick,N,High,Platinum
3767,2039,187525,Excellent,Brick,N,High,Gold
3760,1820,168040,Poor,Brick,N,High,Green
3757,2067,193040,Poor,Brick,N,High,Gold
3757,1852,171404,Poor,Brick,Y,High,Platinum
3753,1891,168354,Below Average,Brick,N,High,Silver
3750,2168,196901,Average,Brick,N,MedHigh,Silver
3746,1944,174125,Below Average,Brick,N,High,Platinum
3743,1923,177807,Poor,Frame,N,High,Silver
3733,1994,180168,Good,Frame,N,High,Platinum
3731,2082,192852,Below Average,Brick,Y,High,Silver
3727,1888,170785,Below Average,Brick,N,High,Green
3726,1877,170684,Good,Frame,N,High,Platinum
3725,1964,175992,Average,Frame,N,High,Silver
3723,2139,194948,Average,Brick,N,MedHigh,Green
3715,2207,208894,Below Average,Brick,N,MedHigh,Green
3705,1919,173480,Excellent,Brick,N,High,Gold
3704,1976,179076,Below Average,Frame,Y,High,Platinum
3703,2132,195232,Average,Brick,N,High,Gold
3699,1951,181277,Below Average,Frame,N,High,Gold
3698,1962,180596,Average,Brick,N,High,Gold
3693,2017,188676,Below Average,Brick,N,High,Gold
3689,2186,196867,Average,Brick,Y,MedHigh,Gold
3687,2079,196023,Poor,Brick,Y,MedHigh,Gold
3684,2215,202509,Below Average,Brick,N,MedHigh,Silver
3679,2119,200026,Below Average,Brick,N,High,Platinum
3670,2212,201523,Below Average,Brick,N,MedHigh,Green
3669,2015,194720,Excellent,Brick,N,High,Platinum
3665,2144,195458,Excellent,Brick,N,High,Platinum
3661,1999,180556,Average,Brick,N,High,Gold
3658,2039,197653,Average,Brick,N,High,Green
3657,2053,193424,Average,Brick,N,High,Green
3657,2070,188651,Average,Brick,Y,High,Gold
3656,2232,200435,Average,Brick,N,MedHigh,Platinum
3653,1976,175428,Excellent,Frame,Y,MedHigh,Gold
3645,1935,177536,Good,Frame,N,High,Gold
3639,1964,179930,Good,Frame,N,High,Green
3638,2094,195810,Below Average,Brick,N,MedHigh,Platinum
3635,2209,200442,Good,Brick,N,MedHigh,Platinum
3624,2173,194875,Good,Brick,N,MedHigh,Green
3620,2132,194849,Good,Brick,N,MedHigh,Green
3618,1896,169677,Good,Brick,N,High,Platinum
3617,2150,196538,Excellent,Brick,N,MedHigh,Green
3616,2014,191995,Poor,Brick,N,High,Silver
3615,1945,177241,Good,Frame,N,High,Gold
3615,1899,171827,Below Average,Brick,N,High,Silver
3608,1818,170215,Excellent,Brick,Y,High,Green
3592,2185,197658,Excellent,Brick,Y,MedHigh,Green
3591,2111,196926,Good,Brick,N,MedHigh,Green
3587,1859,171561,Excellent,Brick,Y,MedHigh,Green
3584,2202,205818,Average,Brick,N,MedHigh,Silver
3582,2067,185751,Average,Brick,N,High,Platinum
3568,2074,198994,Poor,Brick,N,MedHigh,Silver
3563,1874,171508,Average,Brick,N,High,Green
3544,2148,199867,Below Average,Brick,N,MedHigh,Gold
3536,2107,200873,Excellent,Brick,Y,MedHigh,Gold
3530,1915,181930,Average,Frame,N,High,Silver
3527,1887,168008,Average,Brick,N,High,Gold
